cutoff_date,ticker,initial_weight_pct,buy_date,sell_date,adjusted_buy_price,adjusted_sell_price,return_pct
2022-09-10,FAST,10.0,2022-09-12,2023-09-11,23.01409912109375,25.404455184936523,10.386485481206066
2022-09-10,GRMN,10.0,2022-09-12,2023-09-11,85.07327270507812,99.60356140136719,17.079734015477378
2022-09-10,INTU,10.0,2022-09-12,2023-09-11,441.449462890625,536.470947265625,21.524883902405566
2022-09-10,MPWR,10.0,2022-09-12,2023-09-11,433.4521484375,475.3552551269531,9.667297033941269
2022-09-10,ADBE,10.0,2022-09-12,2023-09-11,396.3599853515625,564.5,42.421036649121135
2022-09-10,GOOGL,10.0,2022-09-12,2023-09-11,109.81502532958984,135.62937927246094,23.507123788747485
2022-09-10,DHR,10.0,2022-09-12,2023-09-11,254.75054931640625,218.0359649658203,-14.41197455672041
2022-09-10,ISRG,10.0,2022-09-12,2023-09-11,222.02000427246094,302.3500061035156,36.181425225302874
2022-09-10,MA,10.0,2022-09-12,2023-09-11,330.3665771484375,409.32281494140625,23.8995840543194
2022-09-10,META,10.0,2022-09-12,2023-09-11,167.48919677734375,304.8826599121094,82.03123889680677
2023-09-10,FAST,10.0,2023-09-11,2024-09-10,25.40445327758789,32.906436920166016,29.530191264523143
2023-09-10,GRMN,10.0,2023-09-11,2024-09-10,99.60355377197266,174.0967254638672,74.78967252758414
2023-09-10,MSFT,10.0,2023-09-11,2024-09-10,330.2060241699219,407.7586669921875,23.486138091277688
2023-09-10,MPWR,10.0,2023-09-11,2024-09-10,475.35528564453125,834.9010009765625,75.63726042186015
2023-09-10,SNPS,10.0,2023-09-11,2024-09-10,461.82000732421875,465.5,0.7968456579226846
2023-09-10,TER,10.0,2023-09-11,2024-09-10,97.83613586425781,124.54094696044922,27.295447495231052
2023-09-10,ADBE,10.0,2023-09-11,2024-09-10,564.5,574.47998046875,1.76793276682905
2023-09-10,GOOGL,10.0,2023-09-11,2024-09-10,135.62940979003906,147.6233673095703,8.843183449738866
2023-09-10,DHR,10.0,2023-09-11,2024-09-10,218.03594970703125,271.2781982421875,24.419022921080845
2023-09-10,MA,10.0,2023-09-11,2024-09-10,409.32281494140625,482.2225341796875,17.80983531267777
2024-09-10,APH,10.0,2024-09-11,2025-09-10,30.53892707824707,59.14187240600586,93.66060979965702
2024-09-10,AMAT,10.0,2024-09-11,2025-09-10,183.0130157470703,162.52108764648438,-11.196978541081704
2024-09-10,FAST,10.0,2024-09-11,2025-09-10,33.16520309448242,46.95016098022461,41.564521243759664
2024-09-10,INTU,10.0,2024-09-11,2025-09-10,632.6824340820312,648.9694213867188,2.574275248896152
2024-09-10,MSFT,10.0,2024-09-11,2025-09-10,416.461181640625,496.2867126464844,19.16758020312752
2024-09-10,MPWR,10.0,2024-09-11,2025-09-10,881.64453125,849.2376098632812,-3.675735541712266
2024-09-10,SNPS,10.0,2024-09-11,2025-09-10,481.5,387.7799987792969,-19.464174708349557
2024-09-10,ADBE,10.0,2024-09-11,2025-09-10,580.3800048828125,350.1600036621094,-39.667114525626715
2024-09-10,GOOGL,10.0,2024-09-11,2025-09-10,150.10595703125,238.54962158203125,58.92082253095958
2024-09-10,ANET,10.0,2024-09-11,2025-09-10,85.73249816894531,150.72000122070312,75.80264711719096
