cutoff_date,rank,ticker,company,cik,total_score,selected_top_10,indicator_Return on equity,indicator_Net profit margin,indicator_Margin consistency,indicator_Liabilities to assets,indicator_Positive free cash flow,indicator_Revenue growth,indicator_Earnings growth,points_Return on equity,points_Net profit margin,points_Margin consistency,points_Liabilities to assets,points_Positive free cash flow,points_Revenue growth,points_Earnings growth
2022-09-10,16,TXN,TEXAS INSTRUMENTS INCORPORATED,97476,90,False,0.6899644760213144,0.42351722634103794,0.05925967149328813,0.4596774193548387,5,0.05228493939681256,0.20523111265807326,20,15,5,15,20,5,10
2022-09-10,17,VRTX,VERTEX PHARMACEUTICALS INC / MA,875320,90,False,0.2493346392147678,0.30921261089987323,0.19316929747417252,0.24809231341894658,5,0.32082723762654,0.7266837289397359,20,15,0,15,20,10,10
2022-09-10,18,ABT,ABBOTT LABORATORIES,1800,88,False,0.20619368384218353,0.16415554265815438,0.05015257722767525,0.5238842491621895,5,0.11984602679986378,0.9621879961444373,20,15,5,8,20,10,10
2022-09-10,19,CTAS,Cintas Corporation,723254,88,False,0.35327312882439404,0.1573319053546527,0.01453485319871007,0.5939496684527895,5,0.04940170127958532,0.10047380693741537,20,15,10,8,20,5,10
2022-09-10,20,APH,AMPHENOL CORPORATION,820313,86,False,0.2722364356672856,0.14626297546040473,0.020446283502510713,0.5654090364072378,5,0.11601660648613654,0.25052411301086774,20,8,10,8,20,10,10
2022-09-10,21,ACN,Accenture plc,1467373,86,False,0.3233950515726941,0.1168892313951079,0.008712220629994214,0.5476763707891007,5,0.08714368123204541,0.14429033451032525,20,8,10,8,20,10,10
2022-09-10,22,AAPL,Apple Inc.,320193,85,False,1.4744333444938449,0.2588179335569424,0.01862789745662272,0.8202574344305731,5,0.1239479843312854,0.182941307044741,20,15,10,0,20,10,10
2022-09-10,23,HEI,HEICO CORPORATION,46619,85,False,0.14339015772823083,0.16306101468524647,0.018292355632631322,0.2712323065898279,5,0.05173241392788541,0.13090848036904879,10,15,10,15,20,5,10
2022-09-10,24,PYPL,"PayPal Holdings, Inc.",1633917,85,False,0.19973171082259378,0.1643214693941902,0.02376839851135357,0.7133754600741395,5,0.17982151653381928,0.23450217819878993,20,15,10,0,20,10,10
2022-09-10,25,SNPS,SYNOPSYS INC,883241,85,False,0.14849555615605955,0.18018107161112729,0.048259035661868496,0.3945628900421148,5,0.11450960558139944,0.5346688934297612,10,15,5,15,20,10,10
2022-09-10,26,BMY,BRISTOL-MYERS SQUIBB COMPANY,14272,83,False,0.18962151610454397,0.15078150264093995,0.14980469362858345,0.6706185849936879,5,0.2223734433503055,0.6233943844763361,20,15,0,8,20,10,10
2022-09-10,27,DVN,DEVON ENERGY CORP/DE,1090012,83,False,0.4631596278916605,0.230460429297067,0.3162830889290048,0.5594768133174792,5,0.17057245358933537,0.33037277517296704,20,15,0,8,20,10,10
2022-09-10,28,MSFT,MICROSOFT CORPORATION,789019,83,False,0.47151330502706384,0.3668633681343622,0.07914230908029786,0.5435204473193729,5,0.1577407737204961,0.44744863003573343,20,15,0,8,20,10,10
2022-09-10,29,PG,The Procter & Gamble Company,80424,83,False,0.3171447933137565,0.18384526170077445,0.049513952723562606,0.6002491297522353,5,0.046597943273911424,0.108888674265885,20,15,5,8,20,5,10
2022-09-10,30,IDXX,IDEXX LABORATORIES INC /DE,874716,80,False,1.126777502117875,0.23165213226512738,0.03457308243247254,0.716891863336784,5,0.13042765590908867,0.29708401941407026,20,15,5,0,20,10,10
2022-09-10,31,KLAC,KLA CORP,319201,80,False,1.3901958712299156,0.360600216047034,0.05985654434997415,0.8889354428579049,5,0.22908086609455225,0.4264749105961154,20,15,5,0,20,10,10
2022-09-10,32,MCO,MOODY'S CORPORATION,1059556,80,False,1.0307262569832403,0.3560630427790286,0.03988193884539235,0.8013623978201635,5,0.10279406457132922,0.219511457030104,20,15,5,0,20,10,10
2022-09-10,33,CMG,"CHIPOTLE MEXICAN GRILL, INC.",1058090,78,False,0.3024818245891323,0.08652162742556341,0.01816180651245725,0.6546838263521279,5,0.13949376252334633,0.38736746445673886,20,0,10,8,20,10,10
2022-09-10,34,FIX,"COMFORT SYSTEMS USA, INC.",1035983,78,False,0.19086409314990063,0.0466379232934544,0.007810153906157202,0.6352990384380345,5,0.14505399545121667,0.26902919820187177,20,0,10,8,20,10,10
